region,location,expected_start_date,observed_start_date,expected_end_date,observed_end_date,expected_days,total_rows,unique_dates,missing_dates,duplicate_dates,missing_mean,missing_min,missing_max,min_temperature,max_temperature,temperature_order_violations
Hokkaido,Sapporo,1996-10-07,1996-10-07,2026-08-09,2026-08-09,10899,10899,10899,0,0,0,0,0,-18.9,32.2,0
Tohoku,Sendai,1996-10-07,1996-10-07,2026-08-09,2026-08-09,10899,10899,10899,0,0,0,0,0,-14.4,33.3,0
Kanto,Tokyo,1996-10-07,1996-10-07,2026-08-09,2026-08-09,10899,10899,10899,0,0,0,0,0,-10.5,36.9,0
Japan Sea / Hokuriku,Niigata,1996-10-07,1996-10-07,2026-08-09,2026-08-09,10899,10899,10899,0,0,0,0,0,-7.9,35.7,0
Chubu,Nagoya,1996-10-07,1996-10-07,2026-08-09,2026-08-09,10899,10899,10899,0,0,0,0,0,-8.9,38.4,0
Kansai,Osaka,1996-10-07,1996-10-07,2026-08-09,2026-08-09,10899,10899,10899,0,0,0,0,0,-4.8,37.8,0
Chugoku,Hiroshima,1996-10-07,1996-10-07,2026-08-09,2026-08-09,10899,10899,10899,0,0,0,0,0,-4.2,37.3,0
Shikoku,Takamatsu,1996-10-07,1996-10-07,2026-08-09,2026-08-09,10899,10899,10899,0,0,0,0,0,-2.6,33.8,0
Kyushu,Fukuoka,1996-10-07,1996-10-07,2026-08-09,2026-08-09,10899,10899,10899,0,0,0,0,0,-3.8,38.0,0
Subtropical South,Naha,1996-10-07,1996-10-07,2026-08-09,2026-08-09,10899,10899,10899,0,0,0,0,0,9.1,31.8,0
