location,region,latitude,longitude,model,flunet_source_file,flunet_first_week_start,flunet_last_week_start,weather_start_date,weather_end_date,timezone,temperature_unit,daily_variables,downloaded_at,raw_file
Sapporo,Hokkaido,43.06667,141.35,ERA5-Land,dataset/flunet_japan_analysis_ready.csv,1996-10-07,2026-08-03,1996-10-07,2026-08-09,Asia/Tokyo,celsius,"temperature_2m_mean, temperature_2m_min, temperature_2m_max",2026-08-20T07:29:39.459235+00:00,dataset/openmeteo/raw/sapporo_daily.csv
Sendai,Tohoku,38.26667,140.86667,ERA5-Land,dataset/flunet_japan_analysis_ready.csv,1996-10-07,2026-08-03,1996-10-07,2026-08-09,Asia/Tokyo,celsius,"temperature_2m_mean, temperature_2m_min, temperature_2m_max",2026-08-20T07:29:39.472157+00:00,dataset/openmeteo/raw/sendai_daily.csv
Tokyo,Kanto,35.6895,139.69171,ERA5-Land,dataset/flunet_japan_analysis_ready.csv,1996-10-07,2026-08-03,1996-10-07,2026-08-09,Asia/Tokyo,celsius,"temperature_2m_mean, temperature_2m_min, temperature_2m_max",2026-08-20T07:29:39.484668+00:00,dataset/openmeteo/raw/tokyo_daily.csv
Niigata,Japan Sea / Hokuriku,37.92259,139.04124,ERA5-Land,dataset/flunet_japan_analysis_ready.csv,1996-10-07,2026-08-03,1996-10-07,2026-08-09,Asia/Tokyo,celsius,"temperature_2m_mean, temperature_2m_min, temperature_2m_max",2026-08-20T07:29:39.497203+00:00,dataset/openmeteo/raw/niigata_daily.csv
Nagoya,Chubu,35.18147,136.9064,ERA5-Land,dataset/flunet_japan_analysis_ready.csv,1996-10-07,2026-08-03,1996-10-07,2026-08-09,Asia/Tokyo,celsius,"temperature_2m_mean, temperature_2m_min, temperature_2m_max",2026-08-20T07:29:39.509541+00:00,dataset/openmeteo/raw/nagoya_daily.csv
Osaka,Kansai,34.69379,135.50107,ERA5-Land,dataset/flunet_japan_analysis_ready.csv,1996-10-07,2026-08-03,1996-10-07,2026-08-09,Asia/Tokyo,celsius,"temperature_2m_mean, temperature_2m_min, temperature_2m_max",2026-08-20T07:29:39.523700+00:00,dataset/openmeteo/raw/osaka_daily.csv
Hiroshima,Chugoku,34.4,132.45,ERA5-Land,dataset/flunet_japan_analysis_ready.csv,1996-10-07,2026-08-03,1996-10-07,2026-08-09,Asia/Tokyo,celsius,"temperature_2m_mean, temperature_2m_min, temperature_2m_max",2026-08-20T07:29:39.537709+00:00,dataset/openmeteo/raw/hiroshima_daily.csv
Takamatsu,Shikoku,34.33333,134.05,ERA5-Land,dataset/flunet_japan_analysis_ready.csv,1996-10-07,2026-08-03,1996-10-07,2026-08-09,Asia/Tokyo,celsius,"temperature_2m_mean, temperature_2m_min, temperature_2m_max",2026-08-20T07:29:39.550755+00:00,dataset/openmeteo/raw/takamatsu_daily.csv
Fukuoka,Kyushu,33.6,130.41667,ERA5-Land,dataset/flunet_japan_analysis_ready.csv,1996-10-07,2026-08-03,1996-10-07,2026-08-09,Asia/Tokyo,celsius,"temperature_2m_mean, temperature_2m_min, temperature_2m_max",2026-08-20T07:29:39.564106+00:00,dataset/openmeteo/raw/fukuoka_daily.csv
Naha,Subtropical South,26.213,127.67851,ERA5-Land,dataset/flunet_japan_analysis_ready.csv,1996-10-07,2026-08-03,1996-10-07,2026-08-09,Asia/Tokyo,celsius,"temperature_2m_mean, temperature_2m_min, temperature_2m_max",2026-08-20T07:29:39.577842+00:00,dataset/openmeteo/raw/naha_daily.csv
